iter	Passed	Remaining
405	6988	1618
406	7004	1600
407	7022	1583
408	7038	1566
409	7054	1548
410	7070	1531
411	7089	1514
412	7104	1496
413	7123	1479
414	7140	1462
415	7155	1444
416	7174	1428
417	7192	1411
418	7211	1394
419	7229	1377
420	7246	1359
421	7263	1342
422	7279	1325
423	7295	1307
424	7310	1290
425	7329	1273
426	7344	1255
427	7362	1238
428	7382	1221
429	7401	1204
430	7418	1187
431	7436	1170
432	7452	1153
433	7467	1135
434	7483	1118
435	7501	1101
436	7519	1084
437	7535	1066
438	7551	1049
439	7567	1031
440	7587	1015
441	7605	997
442	7622	980
443	7640	963
444	7656	946
445	7672	928
446	7690	911
447	7706	894
448	7723	877
449	7740	860
450	7757	842
451	7773	825
452	7792	808
453	7809	791
454	7826	774
455	7844	756
456	7860	739
457	7876	722
458	7893	705
459	7909	687
460	7925	670
461	7941	653
462	7956	635
463	7972	618
464	7991	601
465	8011	584
466	8028	567
467	8045	550
468	8060	532
469	8076	515
470	8094	498
471	8110	481
472	8126	463
473	8141	446
474	8156	429
475	8174	412
476	8193	395
477	8214	378
478	8229	360
479	8246	343
480	8260	326
481	8273	308
482	8291	291
483	8308	274
484	8326	257
485	8340	240
486	8355	223
487	8370	205
488	8392	188
489	8411	171
490	8428	154
491	8444	137
492	8460	120
493	8475	102
494	8491	85
495	8506	68
496	8523	51
497	8536	34
498	8553	17
499	8570	0
